"","gene_symbol"
"1","Trim26"
"2","Usp1"
"3","Tnfaip3"
"4","Dapl1"
"5","Ptp4a1"
"6","Ptp4a1"
"7","Fosb"
"8","Odc1"
"9","Capzb"
"10","Lars2"
"11","Pim1"
"12","Traf3"
"13","Itgb2"
"14","Klf4"
"15","Ahr"
"16","2010016I18Rik"
"17","Tubb4a"
"18","Jun"
"19","Pds5b"
"20","Dusp1"
"21","Zfp36"
"22","Mterf3"
"23","Kctd17"
"24","Fos"
"25","Ms4a4c"
"26","AU020206"
"27","Rgs1"
"28","Clstn1"
"29","Uck1"
"30","Ext2"
"31","Dhx30"
