"","x"
"319","Nlrc5"
"320","Ugdh"
"321","Ccnq"
"322","Zfp664"
"323","Ap2s1"
"324","Gripap1"
"325","Rasal3"
"326","Ube4a"
"327","Znrd2"
"328","Rock2"
"329","Nelfa"
"330","Sun1"
"331","Dmxl1"
"332","Capn2"
"333","Eif3l"
"334","Pogz"
"335","Slc14a1"
"336","2310009B15Rik"
"337","Gm9794"
"338","Ccdc12"
"339","Ipo9"
"340","Saysd1"
"341","Ppp1r10"
"342","Maml1"
"343","Fig4"
"344","Rbm12b1"
"345","Taf11"
"346","Tra2a"
"347","Hps6"
