"","x"
"1","2010016I18Rik"
"2","Hspa5"
"3","Ms4a4c"
"4","Trgc4"
"5","Nr4a2"
"6","Ctla4"
"7","Siah2"
"8","Fosb"
"9","Gm20257"
"10","Cish"
"11","Junb"
"12","Dusp1"
"13","Egr1"
"14","Pggt1b"
"15","Tob1"
"16","Tent5c"
"17","Slc5a3"
"18","Rgs1"
"19","Ccdc117"
"20","Sik1"
"21","Plk2"
"22","Slc36a1"
"23","Prdm15"
"24","Dnaja1"
"25","Eif4a2"
"26","Zfp36l2"
"27","Jun"
"28","Fos"
"29","Pim1"
"30","Zfp36"
"31","Tsc22d2"
"32","Adgrg1"
"33","Bhlhe40"
"34","Nfkbia"
"35","Tmem62"
"36","Tagap"
"37","Dcaf5"
"38","Zc3h3"
"39","Ifng"
"40","Nfil3"
"41","Uckl1"
"42","Tbc1d25"
"43","Ammecr1l"
"44","Alkbh5"
"45","Zfp703"
"46","H2-Q6"
"47","Trgc2"
"48","Trgv2"
"49","Ier2"
"50","Rsrp1"
"51","Dusp5"
"52","Klf6"
"53","Kif14"
"54","AU020206"
"55","Eeig1"
"56","Ubc"
"57","Gadd45a"
"58","Tnfrsf12a"
"59","Rgs16"
"60","Tmsb10"
"61","Rgs2"
"62","Ncoa2"
"63","Nfkbid"
"64","Slk"
"65","Ahr"
"66","Map1lc3b"
"67","Helz"
"68","Glp1r"
"69","Supt20"
"70","Tob2"
"71","Tmem243"
"72","Snx10"
"73","Klf4"
"74","Kansl1"
"75","Trgc1"
"76","Dynll1"
"77","Galk1"
"78","Nfkbiz"
"79","Abca7"
"80","Zc3h12a"
"81","Gcnt1"
"82","Cyb5a"
"83","Tmem164"
"84","Mplkip"
"85","Wdr25"
"86","Mafk"
"87","Ciart"
"88","Galnt11"
"89","Aff4"
"90","Manbal"
"91","Zftraf1"
"92","Stip1"
"93","Bmt2"
"94","Ccnf"
"95","Kif15"
"96","Vcpip1"
"97","Lars2"
"98","Tnfaip3"
"99","Chmp3"
"100","Gm5641"
"101","Hsph1"
"102","Rbmx"
"103","Agpat1"
"104","Dusp12"
"105","Ap2m1"
"106","Phc2"
"107","Rfx1"
"108","Socs3"
"109","Tk1"
"110","Sars"
